,title,conference,year,authors,abstract,pdf_path,pdf_url,code_url,relevant,tran_flag
0,PlaneDepth: Self-Supervised Depth Estimation via Orthogonal Planes,CVPR,2023,"Ruoyu Wang, Zehao Yu, Shenghua Gao","Multiple near frontal-parallel planes based depth representation demonstrated impressive results in self-supervised monocular depth estimation (MDE). Whereas, such a representation would cause the discontinuity of the ground as it is perpendicular to the frontal-parallel planes, which is detrimental to the identification of drivable space in autonomous driving. In this paper, we propose the PlaneDepth, a novel orthogonal planes based presentation, including vertical planes and ground planes. PlaneDepth estimates the depth distribution using a Laplacian Mixture Model based on orthogonal planes for an input image. These planes are used to synthesize a reference view to provide the self-supervision signal. Further, we find that the widely used resizing and cropping data augmentation breaks the orthogonality assumptions, leading to inferior plane predictions. We address this problem by explicitly constructing the resizing cropping transformation to rectify the predefined planes and predicted camera pose. Moreover, we propose an augmented self-distillation loss supervised with a bilateral occlusion mask to boost the robustness of orthogonal planes representation for occlusions. Thanks to our orthogonal planes representation, we can extract the ground plane in an unsupervised manner, which is important for autonomous driving. Extensive experiments on the KITTI dataset demonstrate the effectiveness and efficiency of our method. The code is available at https://github.com/svip-lab/PlaneDepth.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Wang_PlaneDepth_Self-Supervised_Depth_Estimation_via_Orthogonal_Planes_CVPR_2023_paper.pdf,https://github.com/svip-lab/PlaneDepth,3,本文提出了一种新的基于正交平面的深度表示方法――PlaneDepth，包括垂直平面和地面平面。PlaneDepth使用基于正交平面的拉普拉斯混合模型来估计输入图像的深度分布，并利用这些平面合成参考视图以提供自我监督信号。此外，作者发现常用 的缩放和裁剪数据增强会破坏正交性假设，导致平面预测效果不佳。作者通过显式构造缩放裁剪变换来矫正预定义平面和预测相机姿态，解决了这个问题。此外，作者还提出了一种增强的自蒸馏损失，通过双边遮挡掩码来提高正交平面表示对遮挡的鲁棒性。由于正交平 面表示，我们可以无监督地提取地面平面，这对于自动驾驶非常重要。在KITTI数据集上的大量实验表明了我们方法的有效
1,OpenGait: Revisiting Gait Recognition Towards Better Practicality,CVPR,2023,"Chao Fan, Junhao Liang, Chuanfu Shen, Saihui Hou, Yongzhen Huang, Shiqi Yu","Gait recognition is one of the most critical long-distance identification technologies and increasingly gains popularity in both research and industry communities. Despite the significant progress made in indoor datasets, much evidence shows that gait recognition techniques perform poorly in the wild. More importantly, we also find that some conclusions drawn from indoor datasets cannot be generalized to real applications. Therefore, the primary goal of this paper is to present a comprehensive benchmark study for better practicality rather than only a particular model for better performance. To this end, we first develop a flexible and efficient gait recognition codebase named OpenGait. Based on OpenGait, we deeply revisit the recent development of gait recognition by re-conducting the ablative experiments. Encouragingly,we detect some unperfect parts of certain prior woks, as well as new insights. Inspired by these discoveries, we develop a structurally simple, empirically powerful, and practically robust baseline model, GaitBase. Experimentally, we comprehensively compare GaitBase with many current gait recognition methods on multiple public datasets, and the results reflect that GaitBase achieves significantly strong performance in most cases regardless of indoor or outdoor situations. Code is available at https://github.com/ShiqiYu/OpenGait.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Fan_OpenGait_Revisiting_Gait_Recognition_Towards_Better_Practicality_CVPR_2023_paper.pdf,https://github.com/ShiqiYu/OpenGait,3,本文介绍了步态识别技术在长距离身份识别中的重要性，并指出尽管在室内数据集方面取得了显著进展，但步态识别技术在野外表现不佳。因此，本文的主要目标是提出一个全面的基准研究，以实现更好的实用性，而不仅仅是为了更好的性能而提出 一个特定的模型。为此，作者首先开发了一个灵活高效的步态识别代码库OpenGait，并在此基础上重新进行了削减实验，发现了一些之前工作的不足之处和新的见解。基于这些发现，作者开发了一个结构简单、实证强大、实用稳健的基线模型GaitBase，并在多个公共数 据集上全面比较了GaitBase与许多当前的步态识别方法，结果表明GaitBase在大多数情况下都取得了显著的强劲表现，无论是
2,An In-Depth Exploration of Person Re-Identification and Gait Recognition in Cloth-Changing Conditions,CVPR,2023,"Weijia Li, Saihui Hou, Chunjie Zhang, Chunshui Cao, Xu Liu, Yongzhen Huang, Yao Zhao","The target of person re-identification (ReID) and gait recognition is consistent, that is to match the target pedestrian under surveillance cameras. For the cloth-changing problem, video-based ReID is rarely studied due to the lack of a suitable cloth-changing benchmark, and gait recognition is often researched under controlled conditions. To tackle this problem, we propose a Cloth-Changing benchmark for Person re-identification and Gait recognition (CCPG). It is a cloth-changing dataset, and there are several highlights in CCPG, (1) it provides 200 identities and over 16K sequences are captured indoors and outdoors, (2) each identity has seven different cloth-changing statuses, which is hardly seen in previous datasets, (3) RGB and silhouettes version data are both available for research purposes. Moreover, aiming to investigate the cloth-changing problem systematically, comprehensive experiments are conducted on video-based ReID and gait recognition methods. The experimental results demonstrate the superiority of ReID and gait recognition separately in different cloth-changing conditions and suggest that gait recognition is a potential solution for addressing the cloth-changing problem. Our dataset will be available at https://github.com/BNU-IVC/CCPG.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Li_An_In-Depth_Exploration_of_Person_Re-Identification_and_Gait_Recognition_in_CVPR_2023_paper.pdf,https://github.com/BNU-IVC/CCPG,3,本文介绍了人物再识别（ReID）和步态识别的共同目标，即在监控摄像头下匹配目标行人。由于缺乏适合的衣服更换基准，视频型ReID很少被研究，而步态识别通常在受控条件下进行研究。为了解决这个问题，作者提出了一个用于人物再识别和步态 识别的衣服更换基准（CCPG）。它是一个衣服更换数据集，其中有几个亮点：（1）提供了200个身份和超过16K个室内外序列，（2）每个身份有七种不同的衣服更换状态，在以前的数据集中很少见，（3）RGB和轮廓版本数据都可用于研究目的。此外，为了系统地研究衣 服更换问题，作者对视频型ReID和步态识别方法进行了全面的实验。实验结果表明，ReID和步态识别在不同的
3,Towards Modality-Agnostic Person Re-Identification With Descriptive Query,CVPR,2023,"Cuiqun Chen, Mang Ye, Ding Jiang","Person re-identification (ReID) with descriptive query (text or sketch) provides an important supplement for general image-image paradigms, which is usually studied in a single cross-modality matching manner, e.g., text-to-image or sketch-to-photo. However, without a camera-captured photo query, it is uncertain whether the text or sketch is available or not in practical scenarios. This motivates us to study a new and challenging modality-agnostic person re-identification problem. Towards this goal, we propose a unified person re-identification (UNIReID) architecture that can effectively adapt to cross-modality and multi-modality tasks. Specifically, UNIReID incorporates a simple dual-encoder with task-specific modality learning to mine and fuse visual and textual modality information. To deal with the imbalanced training problem of different tasks in UNIReID, we propose a task-aware dynamic training strategy in terms of task difficulty, adaptively adjusting the training focus. Besides, we construct three multi-modal ReID datasets by collecting the corresponding sketches from photos to support this challenging task. The experimental results on three multi-modal ReID datasets show that our UNIReID greatly improves the retrieval accuracy and generalization ability on different tasks and unseen scenarios.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Chen_Towards_Modality-Agnostic_Person_Re-Identification_With_Descriptive_Query_CVPR_2023_paper.pdf,,3,本文介绍了一种新的、具有挑战性的跨模态人物再识别问题，即在没有相机拍摄的照片查询的情况下，如何有效地利用文本或素描进行人物再识别。为了解决这个问题，作者提出了一种统一的人物再识别（UNIReID）架构，该架构可以有效地适应跨模态和多模态任务。UNIReID采用了一个简单的双编码器和任务特定的模态学习来挖掘和融合视觉和文本模态信息。为了解决UNIReID中不同任务的不平衡训练问题，作者提出了一种任务感知的动态训练策略，根据任务难度自适应地调整训练重点。此外，作者构建了三个多 模态ReID数据集，通过收集相应的素描来支持这个具有挑战性的任务。实验结果表明，UNIReID极大地提高了不同任务和
4,Visual Recognition-Driven Image Restoration for Multiple Degradation With Intrinsic Semantics Recovery,CVPR,2023,"Zizheng Yang, Jie Huang, Jiahao Chang, Man Zhou, Hu Yu, Jinghao Zhang, Feng Zhao","Deep image recognition models suffer a significant performance drop when applied to low-quality images since they are trained on high-quality images. Although many studies have investigated to solve the issue through image restoration or domain adaptation, the former focuses on visual quality rather than recognition quality, while the latter requires semantic annotations for task-specific training. In this paper, to address more practical scenarios, we propose a Visual Recognition-Driven Image Restoration network for multiple degradation, dubbed VRD-IR, to recover high-quality images from various unknown corruption types from the perspective of visual recognition within one model. Concretely, we harmonize the semantic representations of diverse degraded images into a unified space in a dynamic manner, and then optimize them towards intrinsic semantics recovery. Moreover, a prior-ascribing optimization strategy is introduced to encourage VRD-IR to couple with various downstream recognition tasks better. Our VRD-IR is corruption- and recognition-agnostic, and can be inserted into various recognition tasks directly as an image enhancement module. Extensive experiments on multiple image distortions demonstrate that our VRD-IR surpasses existing image restoration methods and show superior performance on diverse high-level tasks, including classification, detection, and person re-identification.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Yang_Visual_Recognition-Driven_Image_Restoration_for_Multiple_Degradation_With_Intrinsic_Semantics_CVPR_2023_paper.pdf,,3,本文提出了一种基于视觉识别的图像恢复网络VRD-IR，旨在从视觉识别的角度恢复各种未知损坏类型的高质量图像。该网络将不同降级图像的语义表示动态地协调到一个统一的空间中，并优化它们以实现内在语义恢复。此外，引入了一种先验归因优 化策略，以更好地与各种下游识别任务相结合。VRD-IR不受损坏和识别的影响，可以直接插入各种识别任务作为图像增强模块。多种图像失真的广泛实验表明，VRD-IR超越了现有的图像恢复方法，并在分类、检测和人员重新识别等各种高级任务中表现出卓越的性能。
5,Unsupervised Visible-Infrared Person Re-Identification via Progressive Graph Matching and Alternate Learning,CVPR,2023,"Zesen Wu, Mang Ye","Unsupervised visible-infrared person re-identification is a challenging task due to the large modality gap and the unavailability of cross-modality correspondences. Cross-modality correspondences are very crucial to bridge the modality gap. Some existing works try to mine cross-modality correspondences, but they focus only on local information. They do not fully exploit the global relationship across identities, thus limiting the quality of the mined correspondences. Worse still, the number of clusters of the two modalities is often inconsistent, exacerbating the unreliability of the generated correspondences. In response, we devise a Progressive Graph Matching method to globally mine cross-modality correspondences under cluster imbalance scenarios. PGM formulates correspondences mining as a graph matching process and considers the global information by minimizing the global matching cost, where the matching cost measures the dissimilarity of clusters. Besides, PGM adopts a progressive strategy to address the imbalance issue with multiple dynamic matching processes. Based on PGM, we design an Alternate Cross Contrastive Learning (ACCL) module to reduce the modality gap with the mined cross-modality correspondences, while mitigating the effect of noise in correspondences through an alternate scheme. Extensive experiments demonstrate the reliability of the generated correspondences and the effectiveness of our method.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Wu_Unsupervised_Visible-Infrared_Person_Re-Identification_via_Progressive_Graph_Matching_and_Alternate_CVPR_2023_paper.pdf,,3,本文介绍了一种无监督的可见-红外人员再识别方法，该方法面临着模态差异大和跨模态对应关系不可用的挑战。跨模态对应关系对于弥合模态差距非常关键。一些现有的工作尝试挖掘跨模态对应关系，但它们仅关注局部信息。它们没有充分利用跨身份的全局关系，从而限制了挖掘到的对应关系的质量。更糟糕的是，两种模态的聚类数量通常不一致，加剧了生成的对应关系的不可靠性。为了解决这个问题，我们设计了一种渐进式图匹配方法，在聚类不平衡的情况下全局挖掘跨模态对应关系。PGM将对应关系挖掘形式化为图匹配过程，并通过最小化全局匹配成本来考虑全局信息，其中匹配成本衡量
6,Clothing-Change Feature Augmentation for Person Re-Identification,CVPR,2023,"Ke Han, Shaogang Gong, Yan Huang, Liang Wang, Tieniu Tan","Clothing-change person re-identification (CC Re-ID) aims to match the same person who changes clothes across cameras. Current methods are usually limited by the insufficient number and variation of clothing in training data, e.g. each person only has 2 outfits in the PRCC dataset. In this work, we propose a novel Clothing-Change Feature Augmentation (CCFA) model for CC Re-ID to largely expand clothing-change data in the feature space rather than visual image space. It automatically models the feature distribution expansion that reflects a person's clothing colour and texture variations to augment model training. Specifically, to formulate meaningful clothing variations in the feature space, our method first estimates a clothing-change normal distribution with intra-ID cross-clothing variances. Then an augmentation generator learns to follow the estimated distribution to augment plausible clothing-change features. The augmented features are guaranteed to maximise the change of clothing and minimise the change of identity properties by adversarial learning to assure the effectiveness. Such augmentation is performed iteratively with an ID-correlated augmentation strategy to increase intra-ID clothing variations and reduce inter-ID clothing variations, enforcing the Re-ID model to learn clothing-independent features inherently. Extensive experiments demonstrate the effectiveness of our method with state-of-the-art results on CC Re-ID datasets.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Han_Clothing-Change_Feature_Augmentation_for_Person_Re-Identification_CVPR_2023_paper.pdf,,3, 本文介绍了一种新的服装变换特征增强模型，用于解决服装变换人员再识别问题。当前的方法通常受到训练数据中服装数量和变化的限制，例如PRCC数据集中每个人只有2套服装。该模型通过在特征空间而非视觉图像空间中扩展服装变化数据，自动建模反映人的服装颜色和纹理变化的特征分布扩展来增强模型训练。具体而言，该方法首先估计服装变化正态分布，然后通过增强生成器学习遵循估计分布以增强可信服装变化特征。增强特征通过对抗学习来保证最大化服装变化和最小化身份属性变化，以确保有效性。这 种增强是通过ID相关的增强策略进行迭代执行的，以增加内部ID服装变化并减少ID间服装变化，从而强制Re-ID模型在本
7,Samples With Low Loss Curvature Improve Data Efficiency,CVPR,2023,"Isha Garg, Kaushik Roy","In this paper, we study the second order properties of the loss of trained deep neural networks with respect to the training data points to understand the curvature of the loss surface in the vicinity of these points. We find that there is an unexpected concentration of samples with very low curvature. We note that these low curvature samples are largely consistent across completely different architectures, and identifiable in the early epochs of training. We show that the curvature relates to the 'cleanliness' of the data points, with low curvatures samples corresponding to clean, higher clarity samples, representative of their category. Alternatively, high curvature samples are often occluded, have conflicting features and visually atypical of their category. Armed with this insight, we introduce SLo-Curves, a novel coreset identification and training algorithm. SLo-curves identifies the samples with low curvatures as being more data-efficient and trains on them with an additional regularizer that penalizes high curvature of the loss surface in their vicinity. We demonstrate the efficacy of SLo-Curves on CIFAR-10 and CIFAR-100 datasets, where it outperforms state of the art coreset selection methods at small coreset sizes by up to 9%. The identified coresets generalize across architectures, and hence can be pre-computed to generate condensed versions of datasets for use in downstream tasks.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Garg_Samples_With_Low_Loss_Curvature_Improve_Data_Efficiency_CVPR_2023_paper.pdf,,3,本文研究了训练深度神经网络时损失函数对训练数据点的二阶性质，以了解这些点附近的损失曲面的曲率。研究发现，存在许多具有非常低曲率的样本，这是出乎意料的。这些低曲率样本在完全不同的架构中大多是一致的，并且在训练的早期阶段就 可以识别出来。研究表明，曲率与数据点的“清洁度”有关，低曲率样本对应于干净、更具代表性的高清晰度样本。相反，高曲率样本通常被遮挡，具有冲突的特征，并且在视觉上不典型。基于这一发现，本文提出了一种新的核心集识别和训练算法SLo-Curves。SLo-Curves将低曲率样本识别为更具数据效率，并在其周围
8,Event-Guided Person Re-Identification via Sparse-Dense Complementary Learning,CVPR,2023,"Chengzhi Cao, Xueyang Fu, Hongjian Liu, Yukun Huang, Kunyu Wang, Jiebo Luo, Zheng-Jun Zha","Video-based person re-identification (Re-ID) is a prominent computer vision topic due to its wide range of video surveillance applications. Most existing methods utilize spatial and temporal correlations in frame sequences to obtain discriminative person features. However, inevitable degradations, e.g., motion blur contained in frames often cause ambiguity texture noise and temporal disturbance, leading to the loss of identity-discriminating cues. Recently, a new bio-inspired sensor called event camera, which can asynchronously record intensity changes, brings new vitality to the Re-ID task. With the microsecond resolution and low latency, event cameras can accurately capture the movements of pedestrians even in the aforementioned degraded environments. Inspired by the properties of event cameras, in this work, we propose a Sparse-Dense Complementary Learning Framework, which effectively extracts identity features by fully exploiting the complementary information of dense frames and sparse events. Specifically, for frames, we build a CNN-based module to aggregate the dense features of pedestrian appearance step-by-step, while for event streams, we design a bio-inspired spiking neural backbone, which encodes event signals into sparse feature maps in a spiking form, to present the dynamic motion cues of pedestrians. Finally, a cross feature alignment module is constructed to complementarily fuse motion information from events and appearance cues from frames to enhance identity representation learning. Experiments on several benchmarks show that by employing events and SNN into Re-ID, our method significantly outperforms competitive methods.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Cao_Event-Guided_Person_Re-Identification_via_Sparse-Dense_Complementary_Learning_CVPR_2023_paper.pdf,,3,视频人物再识别（Re-ID）是计算机视觉领域的一个重要话题，因为它在视频监控应用中有广泛的应用。大多数现有的方法利用帧序列中的空间和时间相关性来获取具有区分性的人物特征。然而，不可避免的退化，例如包含在帧中的运动模糊经常导致纹理噪声和时间干扰，从而导致失去身份区分线索。最近，一种新的生物启发式传感器称为事件相机，它可以异步记录强度变化，为Re-ID任务带来了新的活力。具有微秒分辨率和低延迟的事件相机可以准确地捕捉行人的运动，即使在上述退化环境中也是如此。受事件相机的特性启发，本文提出了一种稀疏-密集互补学习框架，通过充分利用密集帧和稀疏事件的互补
9,PartMix: Regularization Strategy To Learn Part Discovery for Visible-Infrared Person Re-Identification,CVPR,2023,"Minsu Kim, Seungryong Kim, Jungin Park, Seongheon Park, Kwanghoon Sohn","Modern data augmentation using a mixture-based technique can regularize the models from overfitting to the training data in various computer vision applications, but a proper data augmentation technique tailored for the part-based Visible-Infrared person Re-IDentification (VI-ReID) models remains unexplored. In this paper, we present a novel data augmentation technique, dubbed PartMix, that synthesizes the augmented samples by mixing the part descriptors across the modalities to improve the performance of part-based VI-ReID models. Especially, we synthesize the positive and negative samples within the same and across different identities and regularize the backbone model through contrastive learning. In addition, we also present an entropy-based mining strategy to weaken the adverse impact of unreliable positive and negative samples. When incorporated into existing part-based VI-ReID model, PartMix consistently boosts the performance. We conduct experiments to demonstrate the effectiveness of our PartMix over the existing VI-ReID methods and provide ablation studies.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Kim_PartMix_Regularization_Strategy_To_Learn_Part_Discovery_for_Visible-Infrared_Person_CVPR_2023_paper.pdf,,3,本文提出了一种新的数据增强技术 PartMix，通过混合不同模态的部分描述符来合成增强样本，从而改善基于部分的可见光红外人员再识别模型的性能。特别地，我们在同一身份和不同身份之间合成正负样本，并通过对比学习来规范化骨干模型。此 外，我们还提出了一种基于熵的挖掘策略，以减弱不可靠正负样本的不良影响。将 PartMix 应用于现有的基于部分的 VI-ReID 模型中，可以持续提高性能。我们进行了实验，证明了 PartMix 在现有 VI-ReID 方法上的有效性，并提供了消融研究。
10,UniHCP: A Unified Model for Human-Centric Perceptions,CVPR,2023,"Yuanzheng Ci, Yizhou Wang, Meilin Chen, Shixiang Tang, Lei Bai, Feng Zhu, Rui Zhao, Fengwei Yu, Donglian Qi, Wanli Ouyang","Human-centric perceptions (e.g., pose estimation, human parsing, pedestrian detection, person re-identification, etc.) play a key role in industrial applications of visual models. While specific human-centric tasks have their own relevant semantic aspect to focus on, they also share the same underlying semantic structure of the human body. However, few works have attempted to exploit such homogeneity and design a general-propose model for human-centric tasks. In this work, we revisit a broad range of human-centric tasks and unify them in a minimalist manner. We propose UniHCP, a Unified Model for Human-Centric Perceptions, which unifies a wide range of human-centric tasks in a simplified end-to-end manner with the plain vision transformer architecture. With large-scale joint training on 33 humancentric datasets, UniHCP can outperform strong baselines on several in-domain and downstream tasks by direct evaluation. When adapted to a specific task, UniHCP achieves new SOTAs on a wide range of human-centric tasks, e.g., 69.8 mIoU on CIHP for human parsing, 86.18 mA on PA-100K for attribute prediction, 90.3 mAP on Market1501 for ReID, and 85.8 JI on CrowdHuman for pedestrian detection, performing better than specialized models tailored for each task. The code and pretrained model are available at https://github.com/OpenGVLab/UniHCP.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Ci_UniHCP_A_Unified_Model_for_Human-Centric_Perceptions_CVPR_2023_paper.pdf,https://github.com/OpenGVLab/UniHCP,3,本文介绍了人类中心感知在视觉模型的工业应用中发挥的关键作用。虽然特定的人类中心任务有其自己的相关语义方面需要关注，但它们也共享人体的相同基础语义结构。然而，很少有研究尝试利用这种同质性并为人类中心任务设计通用模型。本文 重新审视了广泛的人类中心任务，并以简化的端到端方式统一了它们。我们提出了UniHCP，一种统一的人类中心感知模型，它使用简单的视觉变换器架构简化了广泛的人类中心任务。通过在33个人类中心数据集上进行大规模联合训练，UniHCP可以通过直接评估在几个领 域内和下游任务上优于强基线。当适应于特定任务时，UniHCP在广泛的人类中心任务上实现了新的SOTAs，例如，在CIHP上进行人类解析时的69.8 mIoU
